AccNum,AccType,Balance,BranchCode,CustomerId,TransferLimit,InterestRate,CardNumber,InsurPolNum
000001,Current,19600.0,297,S1234A,2000,0.03,3108398698038530,MP02
000002,Multiplier,30000.0,560,S1235B,3660,0.041,4018000801278080,MP03
000003,Savings,15000,730,S1236E,5000,0.023,8108372529219270,-
000004,Savings,20000,478,T1237Z,800,0.023,57861543149017880,-
000005,Deposit,45000.0,530,S1238A,10000,0.03,8411007903051590,-
000006,Savings,5500.0,297,S1239Y,1000,0.023,6611131090570770,-
52,Savings,2000.0,560,S231B,10000.0,0.03,2842398577894245,-
84,Savings,15800.0,297,S321A,10000.0,0.03,8030973555323005,-
55,Savings,5250.0,297,T001234G,10000.0,0.03,4192987638915653,PP01
69,Savings,8875.0,297,T0012AB,10000.0,0.03,4697471753951190,MP01
46,Savings,10000.0,297,T00123A,10000.0,0.03,6179460088932134,-
