CardNumber,CustomerName,CreditLimit,ExpiryDate,AccountID,Balance
3108398698038530,John,10000.0,2028-01-01,1,3000.0
4018000801278080,Mary,35000,2028-01-01,2,8000
8108372529219270,Joey,40000,2028-01-01,3,6000
7861543149017880,Alan,27500,2028-01-01,4,9000
8411007903051590,Jane,48250,2028-01-01,5,5000
6611131090570770,Judy,39000,2028-01-01,6,4000
1618929147541607,jsjs,2000,2029-04-07,5734,20000.0
9209627744439880,Joel,2000,2029-04-07,54,10000.0
2218647730770501,Jojo,2000,2029-04-07,18,50000.0
2842398577894245,Jojo,2000,2029-04-07,52,5000.0
8030973555323005,Joel,2000,2029-04-07,84,6000.0
4192987638915653,Joel,5000.0,2029-04-07,55,6000.0
4697471753951190,Joelle,5000.0,2029-04-07,69,5000.0
6179460088932134,Lawrence,2000,2029-04-07,46,10000.0
